Jumlah_ART,Jumlah_Keluarga,sta_bangunan,sta_lahan,luas_lantai,lantai,dinding,kondisi_dinding,atap,kondisi_atap,jumlah_kamar,sumber_airminum,cara_peroleh_airminum,sumber_penerangan,daya,bb_masak,fasbab,kloset,buang_tinja,ada_tabung_gas,ada_lemari_es,ada_ac,ada_pemanas,ada_telepon,ada_tv,ada_emas,ada_laptop,ada_sepeda,ada_motor,ada_mobil,ada_perahu,ada_motor_tempel,ada_perahu_motor,ada_kapal,aset_tak_bergerak,luas_atb,rumah_lain,jumlah_sapi,jumlah_kerbau,jumlah_kambing,sta_art_usaha,desil_susenas
3,1,1,1,27,2,1,2,5,2,2,6,4,1,4,4,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,840,1,0,0,0,0,0
2,1,1,1,24,2,1,2,5,2,2,9,4,1,4,4,1,4,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,40,1,0,0,0,1,0
3,1,1,1,49,3,1,1,5,1,3,6,4,1,4,4,4,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1000,1,0,0,0,0,0
2,1,1,1,56,2,2,0,9,0,2,7,4,1,4,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,50,1,0,0,0,1,0
4,1,1,1,240,2,2,0,5,2,2,9,4,1,4,4,1,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,32,1,0,0,0,1,0
5,1,1,1,42,3,1,1,5,1,2,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,880,1,0,0,0,0,1
2,1,1,1,28,2,1,2,5,2,2,9,4,1,4,4,3,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,32,1,0,0,0,1,0
7,1,1,1,150,2,1,2,5,2,4,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,100,1,0,0,0,1,1
3,1,1,1,60,2,1,2,5,2,3,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,60,1,0,0,0,0,0
7,1,1,1,80,3,1,2,5,2,3,4,4,1,4,3,4,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,80,1,0,0,0,1,1
2,1,2,2,75,6,1,2,5,2,2,3,4,1,4,2,2,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,0,0,1,0
5,1,1,1,65,3,1,2,5,2,3,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,300,1,0,0,0,0,0
5,1,1,1,40,3,1,2,5,2,1,6,4,1,4,4,4,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,40,1,0,0,0,0,1
4,1,1,1,60,6,1,2,5,2,2,4,2,1,4,4,4,1,3,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,500,1,0,0,0,1,1
5,1,1,1,50,3,1,2,6,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
4,1,1,1,40,3,1,1,5,1,2,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,40,1,0,0,0,0,1
4,1,1,1,65,3,1,1,5,1,3,4,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,65,1,0,0,0,0,1
4,1,1,1,30,3,1,2,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,40,1,0,0,0,0,1
3,1,1,1,50,3,1,2,5,1,2,6,4,1,4,4,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,50,1,0,0,0,0,0
2,1,3,2,50,3,1,1,5,2,2,7,2,1,4,3,3,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
4,1,1,1,60,3,3,2,5,2,2,6,4,1,4,2,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
5,1,1,1,42,3,1,1,5,2,3,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,121,1,0,0,0,0,1
5,1,1,1,60,3,1,2,5,2,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1000,1,0,0,0,0,0
6,2,1,1,75,3,1,1,5,1,3,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,200,1,0,0,0,1,1
3,1,1,1,49,3,1,1,4,1,2,5,4,1,4,2,4,3,3,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,49,1,0,0,0,0,0
5,1,1,1,100,3,1,2,5,2,2,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,100,1,0,0,0,1,1
4,1,1,1,54,3,1,2,5,2,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,54,1,0,0,0,1,1
3,1,1,1,75,6,1,2,5,2,2,6,4,1,4,2,4,2,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,75,1,0,0,0,1,0
4,1,1,1,60,3,1,2,5,2,3,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,0,1,1
4,1,2,2,30,3,1,2,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
4,1,1,1,54,3,3,2,5,2,3,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,54,1,0,0,0,1,1
4,1,1,1,64,3,1,2,5,2,3,6,4,1,4,3,4,1,4,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,64,1,0,0,0,1,0
4,1,1,1,100,3,1,1,5,1,2,2,1,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,100,0,0,0,0,0,0
3,1,3,2,60,3,1,2,5,2,3,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
5,1,1,1,70,3,1,1,5,1,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,130,1,0,0,0,0,1
4,1,1,1,45,3,1,1,5,2,2,6,4,1,4,3,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
3,1,1,1,100,3,1,2,5,2,3,6,4,1,4,3,4,1,4,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1700,1,0,0,0,0,0
4,1,1,1,60,2,1,2,5,2,3,6,4,1,4,2,4,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1
4,1,1,1,38,3,1,1,5,1,3,6,4,1,4,3,3,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,137,1,0,0,0,1,1
5,1,1,1,70,3,1,1,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,70,0,0,0,0,0,0
4,1,1,1,42,3,1,2,5,2,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,42,1,0,0,0,1,1
2,1,1,1,48,2,1,2,5,2,2,6,4,1,4,4,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,72,1,0,0,0,1,0
4,1,1,1,35,3,1,2,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
5,1,1,1,50,3,1,2,5,2,3,6,4,1,4,4,4,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
4,1,1,1,40,3,1,2,5,2,2,6,4,1,4,4,4,1,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
8,2,1,1,35,3,1,1,6,1,3,6,4,1,4,3,4,1,2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,100,1,0,0,0,1,0
4,1,1,1,40,3,1,2,5,2,2,6,4,1,4,4,4,1,5,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,0,0,1
