Jumlah_ART;Jumlah_Keluarga;sta_bangunan;sta_lahan;luas_lantai;lantai;dinding;kondisi_dinding;atap;kondisi_atap;jumlah_kamar;sumber_airminum;cara_peroleh_airminum;sumber_penerangan;daya;bb_masak;fasbab;kloset;buang_tinja;ada_tabung_gas;ada_lemari_es;ada_ac;ada_pemanas;ada_telepon;ada_tv;ada_emas;ada_laptop;ada_sepeda;ada_motor;ada_mobil;ada_perahu;ada_motor_tempel;ada_perahu_motor;ada_kapal;aset_tak_bergerak;luas_atb;rumah_lain;jumlah_sapi;jumlah_kerbau;jumlah_kambing;sta_art_usaha;desil_susenas
3;1;Milik Sendiri;Milik Sendiri;27;Ubin/Tegel/Teraso;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;840;Tidak Ada;0;0;0;Ada;Tidak Menerima Bantuan
2;1;Milik Sendiri;Milik Sendiri;24;Ubin/Tegel/Teraso;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Tak Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Tidak Ada;Tidak Pakai;Pantai/Tanah Lapang/Kebun;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;40;Tidak Ada;0;0;0;Tidak Ada;Tidak Menerima Bantuan
3;1;Milik Sendiri;Milik Sendiri;49;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Bagus/Kualitas Tinggi;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;1000;Tidak Ada;0;0;0;Ada;Tidak Menerima Bantuan
2;1;Milik Sendiri;Milik Sendiri;56;Ubin/Tegel/Teraso;Anyaman Bambu;0;Jerami/Ijuk/Daun-daundan/Rumbia;0;2;Mata Air Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;50;Tidak Ada;0;0;0;Tidak Ada;Tidak Menerima Bantuan
4;1;Milik Sendiri;Milik Sendiri;240;Ubin/Tegel/Teraso;Anyaman Bambu;0;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Tak Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Tidak Ada;Tidak Pakai;Pantai/Tanah Lapang/Kebun;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;32;Tidak Ada;0;0;0;Tidak Ada;Tidak Menerima Bantuan
5;1;Milik Sendiri;Milik Sendiri;42;Keramik;Tembok;Bagus/Kualitas Tinggi;Genteng Tanah Liat;Bagus/Kualitas Tinggi;2;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;880;Tidak Ada;0;0;0;Ada;Menerima Bantuan
2;1;Milik Sendiri;Milik Sendiri;28;Ubin/Tegel/Teraso;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;2;Sumur Tak Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Kayu Bakar;Bersama;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;32;Tidak Ada;0;0;0;Tidak Ada;Tidak Menerima Bantuan
7;1;Milik Sendiri;Milik Sendiri;150;Ubin/Tegel/Teraso;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;4;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;100;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
3;1;Milik Sendiri;Milik Sendiri;60;Ubin/Tegel/Teraso;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Sumur Terlindung;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Kolam/Sawah/Sungai/Danau/Laut;Tidak Ada;Tidak ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;60;Tidak Ada;0;0;0;Ada;Tidak Menerima Bantuan
7;1;Milik Sendiri;Milik Sendiri;80;Keramik;Tembok;Jelek/Kualitas Rendah;Genteng Tanah Liat;Jelek/Kualitas Rendah;3;Leding Meteran;Tidak Membeli;Listrik PLN;450 Watt;Gas 3 Kg;Sendiri;Leher Angsa;Lubang Tanah;Tidak Ada;Ada;Tidak ada;Tidak Ada;Tidak Ada;Ada;Ada;Tidak Ada;Tidak Ada;Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Tidak Ada;Ada;80;Tidak Ada;0;0;0;Tidak Ada;Menerima Bantuan
